"csi","reasons"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course<split here>I was concerned students would have a negative opinion about the fact that I grew up in a low-income household<split here>I was concerned that revealing that I grew up in a low-income household would waste class time"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I am a first-generation college student to all students in this course<split here>I was concerned that revealing that I am a first-generation college student would waste class time"
"struggle","I typically do not share my previous academic struggle in college with people<split here>I did not feel my previous academic struggle in college was relevant to the students in this course<split here>I did not feel my previous academic struggle in college was relevant to the course content<split here>I had never thought about revealing my previous academic struggle in college to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would waste class time"
"lgbq","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my depression with people"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I did not feel my depression was relevant to the students in this course<split here>I had never thought about revealing my depression to all students in this course"
"anxiety","I had never thought about revealing my anxiety to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I did not feel my depression was relevant to the course content"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I did not feel my anxiety was relevant to the course content"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations"
"struggle","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my previous academic struggle in college to all undergraduates in this course was inappropriate"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my depression with people<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations"
"disability","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share that I have a disability with people<split here>I was concerned students would have a negative opinion about the fact that I have a disability<split here>I was concerned that revealing that I have a disability would result in poor course evaluations"
"struggle","I did not feel like I had a personal enough relationship with the students in this course<split here>I was concerned students would have a negative opinion about my previous academic struggle in college<split here>I was concerned that revealing my previous academic struggle would result in poor course evaluations"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course"
"anxiety","I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content"
"depress","I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course"
"anxiety","I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course"
"addiction","I thought that revealing my addiction to all undergraduates in this course was inappropriate<split here>I typically do not share my addiction with people<split here>I did not feel my addiction was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my addiction to all students in this course<split here>I was concerned students would have a negative opinion about my addiction<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my addiction<split here>I was concerned I could be fired for revealing my addiction"
"depress","I did not feel like I had a personal enough relationship with the students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course"
"addiction","I did not feel like I had a personal enough relationship with the students in this course"
"ses","I did not feel that growing up in a low-income household was relevant to the course content"
"fgen","I did not feel that me being a first-generation college student was relevant to the course content"
"anxiety","I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I did not feel my anxiety was relevant to the course content"
"struggle","I did not feel my previous academic struggle in college was relevant to the course content<split here>I had never thought about revealing my previous academic struggle in college to all students in this course"
"depress","I typically do not share my depression with people"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned that revealing my anxiety would waste class time"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course<split here>I was concerned that revealing that I am a first-generation college student would waste class time"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course"
"anxiety","I typically do not share my anxiety with people"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"anxiety","I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"fgen","I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I was concerned that revealing my anxiety would waste class time"
"ses","I did not feel like I had a personal enough relationship with the students in this course"
"fgen","I did not feel like I had a personal enough relationship with the students in this course"
"disability","I did not feel like I had a personal enough relationship with the students in this course"
"depress","I had never thought about revealing my depression to all students in this course"
"anxiety","I had never thought about revealing my anxiety to all students in this course"
"depress","I typically do not share my depression with people"
"anxiety","I typically do not share my anxiety with people"
"anxiety","I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I had never thought about revealing my anxiety to all students in this course"
"fgen","I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"transfer","I typically do not share my college transfer status with people<split here>I did not feel my college transfer status was relevant to the students in this course<split here>I did not feel my college transfer status was relevant to the course content"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"anxiety","I had never thought about revealing my anxiety to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my depression with people"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share that I grew up in a low-income household with people"
"lgbq","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people"
"depress","I typically do not share my depression with people"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"anxiety","I typically do not share my anxiety with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"fgen","I did not feel like I had a personal enough relationship with the students in this course"
"ses","I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course<split here>I was concerned that revealing that I grew up in a low-income household would waste class time"
"fgen","I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course<split here>I was concerned that revealing that I am a first-generation college student would waste class time"
"transfer","I thought that revealing my college transfer status to all undergraduates in this course was inappropriate<split here>I typically do not share my college transfer status with people<split here>I did not feel my college transfer status was relevant to the students in this course<split here>I did not feel my college transfer status was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my college transfer status to all students in this course<split here>I was concerned students would have a negative opinion about my college transfer status<split here>I was concerned that revealing my college transfer status would waste class time"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course<split here>I was concerned students would have a negative opinion about the fact that I grew up in a low-income household"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"depress","I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course"
"anxiety","I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course"
"struggle","I did not feel my previous academic struggle in college was relevant to the course content"
"fgen","I typically do not share that I am a first-generation college student with people"
"lgbq","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my depression with people"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned that revealing my anxiety would waste class time"
"fgen","I typically do not share that I am a first-generation college student with people"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my depression with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"lgbq","I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned I could be fired for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"anxiety","I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course"
"struggle","I was concerned students would have a negative opinion about my previous academic struggle in college<split here>I was concerned that revealing my previous academic struggle would result in poor course evaluations"
"anxiety","I had never thought about revealing my anxiety to all students in this course"
"fgen","I had never thought about revealing that I am a first-generation college student to all students in this course"
"fgen","I had never thought about revealing that I am a first-generation college student to all students in this course"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content"
"anxiety","I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned that revealing my anxiety would result in poor course evaluations<split here>I was concerned that revealing my anxiety would waste class time"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned that revealing my anxiety would waste class time"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course"
"depress","I typically do not share my depression with people<split here>I did not feel my depression was relevant to the course content<split here>I was concerned I could be fired for revealing my depression"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my anxiety was relevant to the course content"
"ses","I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"struggle","I typically do not share my previous academic struggle in college with people"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my depression was relevant to the students in this course<split here>I was concerned students would have a negative opinion about my depression"
"ses","I had never thought about revealing that I grew up in a low-income household to all students in this course"
"ses","I had never thought about revealing that I grew up in a low-income household to all students in this course"
"ses","I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned that revealing my depression would result in poor course evaluations"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"disability","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I have a disability to all undergraduates in this course was inappropriate<split here>I typically do not share that I have a disability with people<split here>I did not feel the fact that I have a disability was relevant to the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I have a disability to all students in this course<split here>I was concerned students would have a negative opinion about the fact that I have a disability<split here>I was concerned that revealing that I have a disability would result in poor course evaluations"
"fgen","I typically do not share that I am a first-generation college student with people"
"depress","I did not feel like I had a personal enough relationship with the students in this course"
"depress","I typically do not share my depression with people"
"anxiety","I typically do not share my anxiety with people"
"ses","I typically do not share that I grew up in a low-income household with people"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course"
"ses","I did not feel that growing up in a low-income household was relevant to the students in this course"
"struggle","I typically do not share my previous academic struggle in college with people<split here>I was concerned students would have a negative opinion about my previous academic struggle in college"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my depression<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my anxiety<split here>I was concerned that revealing my anxiety would waste class time"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"anxiety","I did not feel my anxiety was relevant to the students in this course"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course"
"disability","I did not think that revealing that I have a disability to all undergraduates in this course was inappropriate<split here>I did not feel the fact that I have a disability was relevant to the students in this course<split here>I did not feel the fact that I have a disability was relevant to the course content<split here>I had never thought about revealing that I have a disability to all students in this course"
"anxiety","I did not feel my anxiety was relevant to the students in this course"
"anxiety","I typically do not share my anxiety with people<split here>I had never thought about revealing my anxiety to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my depression<split here>I was concerned I could be fired for revealing my depression<split here>I was concerned that revealing my depression would waste class time"
"depress","I had never thought about revealing my depression to all students in this course"
"struggle","I had never thought about revealing my previous academic struggle in college to all students in this course"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"fgen","I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my depression"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
